Account_id,Name,Timestamp,Credit/Debit,Amount
1201252,VJW,20/05/2013,C,$48 
1201253,?VS,24/12/2012,D,$36 
1201254,HKH,08/12/2012,C,$6 
1201255,P==,10/08/2014,D,$36 
1201256,NWQ,22/08/2013,C,$36 
1201257,PZ0,16/07/2014,C,$9 
1201258,C?E,13/06/2013,C,$12 
1201259,M/Y,06/01/2012,D,$1 
1201260,;Q6,11/04/2012,D,$8 
1201261,:@=,19/01/2014,C,$40 
1201262,O<M,08/02/2014,D,$27 
1201263,0Z:,09/05/2013,C,$33 
1201264,QEX,14/06/2013,C,$20 
1201265,;.B,18/04/2014,D,$40 
1201266,A?:,23/07/2014,C,$42 
1201267,WII,02/12/2013,D,$28 
1201268,XD6,15/10/2014,C,$11 
1201269,IBS,25/10/2013,C,$1 
1201270,4P<,16/07/2012,C,$8 
1201271,#NAME?,02/02/2012,D,$46 
1201272,G5B,05/08/2012,D,$24 
1201273,Q;R,25/06/2013,C,$28 
1201274,1CB,12/01/2014,D,$44 
1201275,08/00,14/06/2013,C,$12 
1201276,TD?,06/04/2014,C,$32 
1201277,/.G,04/04/2014,D,$27 
1201278,UU:,25/05/2014,C,$3 
1201279,XZ:,24/11/2014,D,$32 
1201280,KTQ,01/07/2014,C,$8 
1201281,Q:X,17/09/2012,C,$43 
1201282,130,06/04/2012,C,$31 
1201283,F.M,02/11/2013,D,$9 
1201284,XHJ,04/05/2012,D,$41 
1201285,CYC,10/06/2012,C,$28 
1201286,H>R,17/08/2012,D,$8 
1201287,6?0,28/12/2013,C,$43 
1201288,=L;,22/12/2014,C,$19 
1201289,K1.,06/02/2014,D,$17 
1201290,KOJ,19/12/2013,C,$44 
1201291,/49,04/06/2012,D,$13 
1201292,GSB,15/02/2013,C,$20 
1201293,:Z8,01/09/2014,C,$18 
1201294,I1R,26/03/2012,C,$39 
1201295,GHZ,12/08/2012,D,$34 
1201296,4UZ,24/08/2012,D,$17 
1201297,XI7,15/06/2012,C,$32 
1201298,DUK,06/08/2014,D,$38 
1201299,O2O,14/07/2014,C,$11 
1201300,;DU,05/07/2012,C,$40 
1201301,=4N,15/04/2013,D,$8 
1201302,T0X,08/12/2012,C,$36 
1201303,-U<,08/02/2012,D,$16 
1201304,4;I,07/08/2013,C,$47 
1201305,SK/,16/08/2013,C,$45 
1201306,G/W,26/11/2014,C,$24 
1201307,RVZ,08/01/2014,D,$16 
1201308,PNL,18/10/2012,D,$18 
1201309,JVI,18/01/2012,C,$8 
1201310,-P:,04/03/2014,D,$19 
1201311,I7L,27/03/2013,C,$23 
1201312,SW2,08/06/2012,C,$34 
1201313,9K<,07/10/2013,D,$16 
1201314,@MK,21/08/2014,C,$12 
1201315,N<R,19/03/2014,D,$47 
1201316,KJN,26/02/2013,C,$25 
1201317,-Q:,01/06/2013,C,$9 
1201318,0J9,11/05/2013,C,$4 
1201319,Y:K,04/11/2013,D,$14 
1201320,B?A,18/04/2014,D,$27 
1201321,S>Z,13/11/2013,C,$26 
1201322,LMQ,26/08/2012,D,$6 
1201323,O8V,07/01/2014,C,$45 
1201324,B=J,01/01/2012,C,$24 
1201325,;8G,27/03/2012,D,$48 
1201326,YF-,24/08/2014,C,$34 
1201327,W>3,14/06/2013,D,$9 
1201328,<UJ,10/07/2012,C,$16 
1201329,KGT,23/07/2013,C,$14 
1201330,9R7,19/01/2014,C,$15 
1201331,S/M,12/11/2012,D,$7 
1201332,M7A,22/01/2013,D,$27 
1201333,-E;,08/08/2014,C,$10 
1201334,O9G,11/05/2013,D,$34 
1201335,7K.,28/08/2014,C,$7 
1201336,VY0,22/12/2013,C,$41 
1201337,7PK,21/05/2013,D,$49 
1201338,R7/,26/12/2013,C,$48 
1201339,LF?,12/01/2012,D,$1 
1201340,/.;,11/01/2014,C,$5 
1201341,VKP,05/03/2014,C,$4 
1201342,=8S,18/11/2012,C,$22 
1201343,N2T,18/12/2014,D,$23 
1201344,ZFV,18/05/2013,D,$46 
1201345,3NZ,24/07/2014,C,$35 
1201346,?RC,04/05/2013,D,$3 
1201347,CD8,01/05/2012,C,$11 
1201348,IG-,24/06/2014,C,$19 
1201349,SO9,16/09/2013,D,$19 
1201350,/>=,04/09/2013,C,$15 
1201351,?KM,17/10/2014,D,$41 
1201352,?7?,12/11/2014,C,$4 
1201353,1OI,10/02/2012,C,$9 
1201354,#NAME?,23/06/2012,C,$2 
1201355,H>M,06/02/2014,D,$19 
1201356,PA.,16/02/2013,D,$4 
1201357,YLU,12/04/2012,C,$48 
1201358,:OL,26/07/2012,D,$26 
1201359,X7S,14/04/2013,C,$25 
1201360,<XC,25/09/2012,C,$22 
1201361,VZ.,04/04/2012,D,$42 
1201362,GU8,25/09/2013,C,$46 
1201363,8HY,07/09/2014,D,$30 
1201364,ZGQ,26/07/2014,C,$35 
1201365,36,28/12/2012,C,$31 
1201366,WVC,20/04/2012,C,$46 
1201367,8G;,27/02/2012,D,$28 
1201368,0Q6,12/03/2012,D,$16 
1201369,.@1,11/06/2013,C,$7 
1201370,37G,12/10/2013,D,$43 
1201371,MS8,18/10/2014,C,$34 
1201372,RPY,23/04/2012,C,$40 
1201373,T=U,01/09/2013,D,$5 
1201374,N6W,16/03/2014,C,$17 
1201375,B7P,03/11/2013,D,$14 
1201376,GLV,02/12/2012,C,$42 
1201377,5?1,24/04/2013,C,$30 
1201378,I-=,26/08/2014,C,$36 
1201379,Y6C,02/04/2012,D,$20 
1201380,;/U,28/07/2012,D,$29 
1201381,;I9,23/08/2014,C,$3 
1201382,#NAME?,09/07/2013,D,$10 
1201383,<EB,01/10/2013,C,$31 
1201384,KI@,28/03/2013,C,$17 
1201385,;AQ,15/03/2013,D,$22 
1201386,XD/,21/04/2012,C,$7 
1201387,D:F,04/10/2013,D,$31 
1201388,>NE,13/12/2014,C,$39 
1201389,?AB,15/11/2014,C,$27 
1201390,LJY,20/09/2012,C,$18 
1201391,L?Z,18/12/2012,D,$25 
1201392,84/,07/05/2014,D,$39 
1201393,U;V,24/05/2013,C,$40 
1201394,HEU,19/06/2012,D,$8 
1201395,SJW,09/05/2014,C,$13 
1201396,WTC,03/02/2012,C,$1 
1201397,Z;2,21/07/2014,D,$18 
1201398,X=W,25/07/2012,C,$18 
1201399,P/H,08/02/2013,D,$2 
1201400,AAP,07/07/2012,C,$11 
1201401,<-0,20/05/2014,C,$24 
1201402,K<-,20/05/2014,C,$2 
1201403,P?A,01/10/2014,D,$44 
1201404,8J3,12/03/2014,D,$5 
1201405,MMS,06/05/2014,C,$46 
1201406,NGD,27/04/2012,D,$18 
1201407,ZHW,17/08/2014,C,$23 
1201408,;DO,28/05/2013,C,$34 
1201409,7/<,04/05/2014,D,$35 
1201410,RBW,21/04/2014,C,$27 
1201411,CGM,15/05/2012,D,$39 
1201412,<U3,28/11/2014,C,$43 
1201413,6XU,17/10/2012,C,$40 
1201414,5S.,18/12/2013,C,$33 
1201415,3Y2,01/06/2013,D,$42 
1201416,RKQ,11/01/2014,D,$17 
1201417,#NAME?,28/08/2012,C,$47 
1201418,4A6,12/03/2013,D,$27 
1201419,.K>,21/04/2012,C,$13 
1201420,K3A,16/02/2014,C,$35 
1201421,9=J,06/06/2013,D,$49 
1201422,@EY,19/04/2014,C,$39 
1201423,<V3,26/10/2012,D,$27 
1201424,S@F,16/08/2012,C,$27 
1201425,F.A,26/08/2014,C,$33 
1201426,@;3,21/04/2012,C,$32 
1201427,1XA,12/03/2013,D,$26 
1201428,CR4,13/06/2012,C,$39 
1201429,?AT,24/07/2014,C,$3 
1201430,9S:,17/09/2012,D,$34 
1201431,L/R,12/11/2014,C,$5 
1201432,B=<,15/02/2014,D,$49 
1201433,SBB,03/11/2012,C,$2 
1201434,9RI,24/01/2014,C,$1 
1201435,NB5,11/11/2013,C,$11 
1201436,?>?,26/05/2014,D,$3 
1201437,Y;6,09/01/2013,D,$2 
1201438,QUJ,11/12/2014,C,$21 
1201439,2@Z,14/12/2012,D,$24 
1201440,=8<,17/12/2012,C,$37 
1201441,M?P,04/05/2013,C,$18 
1201442,UQN,11/03/2013,D,$6 
1201443,D4;,04/08/2012,C,$46 
1201444,9DP,19/12/2013,D,$22 
1201445,1Q;,28/07/2014,C,$8 
1201446,A0F,11/04/2012,C,$41 
1201447,F5O,19/09/2012,C,$17 
1201448,6J3,15/04/2012,D,$9 
1201449,V4M,25/06/2014,C,$32 
1201450,GNC,03/05/2014,C,$31 
1201451,OFD,28/08/2012,D,$25 
1201452,V;>,07/02/2012,C,$42 
1201453,O-1,05/10/2013,D,$40 
1201454,:ZL,21/11/2012,C,$30 
1201455,VQ7,05/04/2012,C,$21 
1201456,X?E,12/03/2012,C,$1 
1201457,A?=,17/10/2012,D,$12 
1201458,EAS,11/04/2013,D,$45 
1201459,PBB,01/09/2012,C,$23 
1201460,:XP,04/05/2013,D,$12 
1201461,KQ0,24/04/2014,C,$33 
1201462,X8D,06/07/2012,C,$37 
1201463,V5X,26/07/2014,D,$27 
1201464,E>N,16/08/2012,C,$37 
1201465,BMV,04/06/2012,D,$50 
1201466,0YS,18/04/2014,C,$43 
1201467,DK:,25/07/2012,C,$35 
1201468,@I2,21/08/2013,C,$43 
1201469,LR5,09/10/2013,D,$10 
1201470,CDC,28/12/2013,C,$4 
1201471,M?J,07/10/2013,C,$6 
1201472,7CV,17/03/2014,D,$49 
1201473,W8R,09/10/2012,C,$34 
1201474,LFW,03/09/2012,D,$38 
1201475,EFB,02/08/2013,C,$32 
1201476,XH/,07/04/2013,C,$36 
1201477,05N,05/06/2013,C,$25 
1201478,2ZM,26/12/2014,D,$48 
1201479,B;<,28/08/2014,D,$16 
1201480,UHV,17/09/2012,C,$45 
1201481,US;,21/10/2013,D,$19 
1201482,XQ9,19/06/2013,C,$33 
1201483,IVY,08/10/2014,C,$36 
1201484,#NAME?,11/02/2013,D,$21 
1201485,Y@2,10/12/2014,C,$19 
1201486,1;/,18/11/2014,D,$17 
1201487,SQ=,23/12/2013,C,$44 
1201488,36-,18/03/2013,C,$10 
1201489,34J,10/07/2012,C,$20 
1201490,C?F,09/01/2013,D,$17 
1201491,<68,26/01/2013,C,$15 
1201492,F/L,05/09/2013,C,$11 
1201493,1C=,04/05/2012,D,$12 
1201494,09H,05/10/2014,C,$14 
1201495,=>K,03/11/2012,D,$15 
1201496,?B>,15/03/2013,C,$22 
1201497,@-P,17/08/2012,C,$30 
1201498,SDQ,16/03/2014,C,$45 
1201499,;D9,15/02/2013,D,$18 
1201500,U4W,03/02/2014,D,$35 
1201501,0N9,24/04/2014,C,$5 
1201502,R7L,10/10/2012,D,$37 
1201503,T1Y,22/03/2012,C,$37 
1201504,;N?,22/12/2014,C,$11 
1201505,A;.,20/06/2014,D,$12 
1201506,MM5,15/05/2014,C,$23 
1201507,MFZ,09/09/2014,D,$24 
1201508,:2-,08/06/2014,C,$24 
1201509,Z.Y,04/01/2013,C,$35 
1201510,?WG,07/06/2013,C,$20 
1201511,KB1,06/07/2013,D,$12 
1201512,.I=,03/11/2014,C,$7 
1201513,D6E,17/02/2013,C,$17 
1201514,EE9,14/07/2013,D,$5 
1201515,P.2,23/06/2014,C,$8 
1201516,1S4,02/02/2012,D,$3 
1201517,GJT,17/07/2014,C,$9 
1201518,.:R,11/11/2012,C,$45 
1201519,USA,05/07/2013,C,$44 
1201520,JG2,23/09/2013,D,$16 
1201521,MC5,26/04/2012,D,$49 
1201522,M4-,14/10/2012,C,$6 
1201523,KT5,24/06/2012,D,$40 
1201524,Y72,16/03/2013,C,$16 
1201525,Q>=,08/04/2014,C,$33 
1201526,DBJ,11/09/2013,D,$44 
1201527,Z1G,03/11/2012,C,$37 
1201528,BOT,28/12/2012,D,$17 
1201529,2HD,02/12/2012,C,$35 
1201530,:=9,17/10/2012,C,$34 
1201531,?F:,25/05/2014,C,$20 
1201532,NSE,19/03/2013,D,$23 
1201533,36X,26/03/2014,C,$31 
1201534,1JJ,20/12/2014,C,$2 
1201535,-V-,06/02/2013,D,$41 
1201536,>F0,17/07/2013,C,$45 
1201537,JFK,22/09/2013,D,$34 
1201538,5T.,08/07/2012,C,$40 
1201539,FJ-,21/09/2014,C,$47 
1201540,F?E,04/11/2013,C,$34 
1201541,PFH,03/02/2013,D,$2 
1201542,J;C,09/08/2014,D,$39 
1201543,@2V,24/11/2014,C,$2 
1201544,:E1,20/02/2014,D,$47 
1201545,.-K,24/10/2014,C,$8 
1201546,?:N,25/07/2013,C,$36 
1201547,ZO0,14/01/2013,D,$36 
1201548,AVI,21/01/2014,C,$14 
1201549,Q2X,11/01/2013,D,$3 
1201550,J3/,24/10/2012,C,$31 
1201551,VS5,10/09/2012,C,$12 
1201552,8;=,01/01/2012,C,$30 
1201553,VO2,25/12/2012,D,$45 
1201554,YX/,21/02/2012,C,$16 
1201555,F2E,10/11/2012,C,$21 
1201556,6=8,15/01/2012,D,$48 
1201557,DTS,22/10/2013,C,$35 
1201558,7KN,05/04/2012,D,$28 
1201559,:S8,18/05/2013,C,$18 
1201560,D=Q,05/11/2013,C,$49 
1201561,HG9,18/01/2014,C,$18 
1201562,9.F,07/10/2014,D,$4 
1201563,#NAME?,21/07/2013,D,$2 
1201564,5.00E+08,04/03/2012,C,$34 
1201565,Q;D,23/08/2013,D,$28 
1201566,L3H,28/01/2013,C,$16 
1201567,9VC,07/03/2014,C,$23 
1201568,7SX,03/03/2012,D,$14 
1201569,<60,19/04/2014,C,$11 
1201570,60?,08/04/2014,D,$42 
1201571,YF<,05/01/2014,C,$41 
1201572,A7C,19/09/2012,C,$22 
1201573,M@2,22/01/2012,C,$14 
1201574,H:U,17/12/2012,D,$10 
1201575,/QV,01/09/2013,C,$9 
1201576,X>Y,07/12/2014,C,$10 
1201577,;Q0,17/03/2012,D,$26 
1201578,@G?,14/10/2012,C,$10 
1201579,W@9,26/09/2012,D,$46 
1201580,8OY,13/06/2013,C,$41 
1201581,O<.,20/08/2014,C,$23 
1201582,<1-,05/11/2012,C,$43 
1201583,P0Q,08/04/2012,D,$8 
1201584,DH=,13/12/2014,D,$46 
1201585,C8J,13/02/2014,C,$22 
1201586,XOG,17/02/2012,D,$41 
1201587,N?>,05/01/2013,C,$47 
1201588,Z=N,24/04/2013,C,$17 
1201589,A3Z,23/04/2012,D,$37 
1201590,BMA,12/05/2012,C,$22 
1201591,7W>,06/02/2014,D,$42 
1201592,:3<,01/06/2014,C,$43 
1201593,HJ1,27/03/2014,C,$6 
1201594,U4A,14/10/2012,C,$28 
1201595,.<O,07/07/2013,D,$24 
1201596,CHJ,08/08/2013,C,$24 
1201597,VH>,28/08/2014,C,$43 
1201598,<Z7,19/05/2012,D,$45 
1201599,APR,16/07/2012,C,$18 
1201600,0VM,09/02/2013,D,$44 
1201601,@WM,11/10/2013,C,$40 
1201602,0:-,08/06/2012,C,$28 
1201603,:8D,07/08/2013,C,$17 
1201604,>QT,06/07/2012,D,$28 
1201605,AOX,06/03/2013,D,$34 
1201606,F@.,28/02/2012,C,$17 
1201607,3@4,24/06/2013,D,$6 
1201608,S1/,25/12/2012,C,$30 
1201609,:<B,03/07/2013,C,$48 
1201610,7.00E+01,10/01/2014,D,$14 
1201611,GOI,17/10/2012,C,$33 
1201612,#NAME?,13/09/2012,D,$41 
1201613,F7W,11/03/2013,C,$27 
1201614,A.R,16/02/2013,C,$39 
1201615,0.29,21/03/2012,C,$35 
1201616,=0@,26/10/2012,D,$18 
1201617,</D,16/10/2013,C,$4 
1201618,2GS,16/01/2013,C,$2 
1201619,XM>,01/05/2013,D,$9 
1201620,9SW,22/05/2012,C,$3 
1201621,2C=,18/11/2014,D,$25 
1201622,HU3,07/10/2014,C,$28 
1201623,PII,11/04/2013,C,$2 
1201624,XXO,23/09/2013,C,$29 
1201625,9C>,02/12/2014,D,$50 
1201626,<;>,18/10/2014,D,$14 
1201627,JOL,24/09/2013,C,$9 
1201628,RFK,16/09/2013,D,$20 
1201629,Y-1,16/12/2013,C,$16 
1201630,2B?,03/10/2013,C,$20 
1201631,@NO,24/02/2012,D,$28 
1201632,ASP,07/05/2012,C,$47 
1201633,3P>,09/02/2014,D,$32 
1201634,V3:,06/02/2014,C,$19 
1201635,T@.,07/02/2014,C,$35 
1201636,P91,02/08/2014,C,$31 
1201637,-F-,11/02/2014,D,$20 
1201638,USJ,04/02/2014,C,$40 
1201639,PW@,06/09/2014,C,$31 
1201640,6@N,14/09/2012,D,$4 
1201641,/F3,17/01/2012,C,$35 
1201642,I.X,17/05/2014,D,$25 
1201643,?HL,16/09/2014,C,$30 
1201644,FMX,12/04/2014,C,$47 
1201645,QZ=,19/10/2014,C,$44 
1201646,5>C,21/01/2014,D,$38 
1201647,>..,11/11/2012,D,$37 
1201648,/34,24/09/2014,C,$19 
1201649,/KZ,25/11/2014,D,$19 
1201650,??:,25/11/2013,C,$8 
1201651,FOC,16/06/2013,C,$24 
1201652,R9R,23/09/2012,D,$37 
1201653,S3<,06/11/2012,C,$38 
1201654,Z>9,28/08/2012,D,$4 
1201655,M58,12/03/2013,C,$17 
1201656,AU8,27/06/2012,C,$15 
1201657,G6N,23/04/2014,C,$41 
1201658,:AE,12/03/2014,D,$47 
1201659,A-A,22/08/2013,C,$16 
1201660,ISJ,09/04/2013,C,$12 
1201661,;.9,20/07/2014,D,$39 
1201662,HOP,07/06/2013,C,$15 
1201663,LPW,19/12/2012,D,$13 
1201664,14<,18/05/2014,C,$32 
1201665,A<V,10/06/2014,C,$35 
1201666,#NAME?,20/07/2012,C,$21 
1201667,0ZX,17/01/2012,D,$49 
1201668,QGS,18/08/2013,D,$43 
1201669,4IY,14/12/2012,C,$14 
1201670,C6A,01/02/2012,D,$49 
1201671,URQ,09/05/2012,C,$46 
1201672,TXX,15/10/2014,C,$14 
1201673,RI8,21/05/2013,D,$32 
1201674,Q4N,12/03/2014,C,$17 
1201675,K0F,11/12/2013,D,$32 
1201676,7A2,23/04/2012,C,$27 
1201677,UH>,08/04/2012,C,$33 
1201678,?JI,18/04/2012,C,$38 
1201679,O73,22/01/2013,D,$14 
1201680,H<6,14/01/2012,C,$7 
1201681,//>,17/08/2012,C,$12 
1201682,4YK,22/03/2013,D,$9 
1201683,WB0,17/11/2013,C,$33 
1201684,<E5,05/09/2013,D,$33 
1201685,W4Z,15/12/2012,C,$40 
1201686,;RI,21/03/2012,C,$12 
1201687,BT6,11/05/2012,C,$18 
1201688,O<<,05/06/2014,D,$10 
1201689,0@S,07/08/2014,D,$26 
1201690,=5J,13/09/2013,C,$29 
1201691,TZ<,04/05/2014,D,$21 
1201692,?R=,25/10/2014,C,$26 
1201693,AYG,15/09/2014,C,$49 
1201694,PYQ,03/02/2013,D,$22 
1201695,9TE,14/01/2013,C,$44 
1201696,UR4,24/09/2012,D,$35 
1201697,<-P,06/05/2013,C,$2 
1201698,2FF,23/03/2012,C,$19 
1201699,YK=,23/11/2013,C,$33 
1201700,/M9,05/01/2014,D,$3 
1201701,<JO,10/03/2013,C,$14 
1201702,G-1,21/08/2013,C,$22 
1201703,..3,07/09/2013,D,$18 
1201704,;Z:,14/03/2013,C,$25 
1201705,LH-,02/08/2012,D,$24 
1201706,<;2,27/12/2012,C,$23 
1201707,QD9,07/06/2014,C,$30 
1201708,0,23/08/2014,C,$37 
1201709,RG:,09/10/2013,D,$45 
1201710,/W;,03/01/2013,D,$20 
1201711,3SB,25/11/2014,C,$19 
1201712,P9W,17/05/2012,D,$38 
1201713,PW>,03/11/2012,C,$20 
1201714,Q4U,01/04/2013,C,$39 
1201715,IR4,05/09/2014,D,$5 
1201716,H?@,10/12/2014,C,$50 
1201717,TWH,09/11/2014,D,$50 
1201718,F/C,04/08/2014,C,$34 
1201719,?R3,17/12/2012,C,$38 
1201720,0E/,19/09/2013,C,$26 
1201721,<WH,19/05/2013,D,$8 
1201722,3?-,17/08/2012,C,$15 
1201723,/1F,09/01/2012,C,$7 
1201724,R?;,22/10/2014,D,$24 
1201725,SU2,11/09/2014,C,$49 
1201726,Q@B,12/09/2013,D,$3 
1201727,8U2,15/06/2014,C,$5 
1201728,7?U,19/01/2012,C,$41 
1201729,P5R,22/09/2013,C,$25 
1201730,D4Q,14/08/2013,D,$13 
1201731,7T4,27/02/2014,D,$33 
1201732,Y1T,10/05/2014,C,$31 
1201733,<J:,04/10/2014,D,$50 
1201734,NBF,14/03/2012,C,$4 
1201735,A7W,03/08/2013,C,$13 
1201736,05A,21/01/2014,D,$25 
1201737,WG3,23/07/2013,C,$45 
1201738,GMQ,06/04/2014,D,$23 
1201739,3GJ,13/06/2012,C,$21 
1201740,O9B,27/05/2012,C,$42 
1201741,C3-,28/10/2013,C,$10 
1201742,U>:,22/04/2012,D,$14 
1201743,UXK,09/02/2013,C,$35 
1201744,0X@,19/12/2014,C,$36 
1201745,9R=,21/11/2013,D,$49 
1201746,7YM,03/02/2014,C,$20 
1201747,D>/,21/06/2012,D,$18 
1201748,CUH,19/08/2014,C,$42 
1201749,507,13/03/2012,C,$45 
1201750,Z=?,17/06/2012,C,$13 
1201751,FXM,04/03/2012,D,$46 
1201752,XE=,22/06/2013,D,$41 
1201753,E@R,14/02/2014,C,$32 
1201754,.IF,05/07/2013,D,$39 
1201755,937,11/01/2014,C,$20 
1201756,4F2,28/02/2014,C,$36 
1201757,Z5I,24/09/2013,D,$24 
1201758,=@R,28/09/2012,C,$20 
1201759,W34,02/04/2012,D,$13 
1201760,56?,24/10/2014,C,$11 
1201761,IW?,16/09/2014,C,$28 
1201762,LVM,04/10/2012,C,$34 
1201763,K:=,20/08/2012,D,$6 
1201764,9N3,12/05/2013,C,$17 
1201765,Q<1,07/02/2012,C,$41 
1201766,P5G,06/10/2013,D,$39 
1201767,34G,27/03/2013,C,$9 
1201768,=<I,11/07/2014,D,$7 
1201769,Y-A,22/01/2012,C,$21 
1201770,MN4,16/06/2014,C,$21 
1201771,7OT,10/10/2012,C,$14 
1201772,2W5,12/06/2013,D,$48 
1201773,2?G,28/11/2014,D,$37 
1201774,E=K,06/07/2013,C,$43 
1201775,/8.,04/11/2012,D,$41 
1201776,JO2,08/06/2012,C,$42 
1201777,MS9,28/12/2014,C,$38 
1201778,FTH,01/01/2012,D,$24 
1201779,HU9,13/02/2012,C,$15 
1201780,//V,09/03/2013,D,$32 
1201781,/5:,20/03/2012,C,$47 
1201782,5HL,09/07/2012,C,$17 
1201783,1BL,06/01/2012,C,$33 
1201784,06/Sep,24/09/2012,D,$29 
1201785,L?L,26/05/2013,C,$43 
1201786,RXL,25/11/2013,C,$46 
1201787,7DY,26/03/2014,D,$46 
1201788,BTD,22/04/2012,C,$6 
1201789,L7F,18/03/2014,D,$2 
1201790,QO=,08/06/2013,C,$2 
1201791,WDT,22/01/2013,C,$39 
1201792,T5U,02/01/2013,C,$39 
1201793,:>C,17/02/2013,D,$45 
1201794,=>9,26/10/2012,D,$33 
1201795,BOA,07/09/2013,C,$16 
1201796,;JB,06/10/2013,D,$19 
1201797,0SY,08/08/2013,C,$45 
1201798,XB7,03/11/2013,C,$21 
1201799,X>N,14/04/2012,D,$46 
1201800,Y9W,26/07/2014,C,$32 
1201801,@0V,16/03/2013,D,$19 
1201802,;S6,04/03/2012,C,$19 
1201803,TC-,24/03/2014,C,$13 
1201804,YBH,06/08/2012,C,$13 
1201805,5N/,02/10/2012,D,$22 
1201806,8>X,10/07/2012,C,$44 
1201807,DK9,28/12/2012,C,$14 
1201808,E>:,26/11/2013,D,$7 
1201809,/IH,13/08/2014,C,$15 
1201810,E8A,19/01/2014,D,$15 
1201811,5OS,16/04/2014,C,$13 
1201812,;=Y,19/11/2012,C,$20 
1201813,Z5D,28/08/2014,C,$26 
1201814,RR=,11/10/2013,D,$4 
1201815,M?/,10/12/2012,D,$3 
1201816,.?2,13/01/2013,C,$5 
1201817,NDA,26/11/2014,D,$12 
1201818,;VT,05/06/2013,C,$42 
1201819,3;/,05/08/2014,C,$8 
1201820,.;C,23/06/2014,D,$44 
1201821,4<V,27/12/2012,C,$3 
1201822,6XO,20/11/2014,D,$8 
1201823,3NZ,04/07/2014,C,$20 
1201824,K1.,23/10/2012,C,$40 
1201825,<SY,11/08/2012,C,$16 
1201826,3LQ,12/02/2014,D,$37 
1201827,R<X,17/10/2014,C,$32 
1201828,4RK,28/10/2014,C,$9 
1201829,S85,27/10/2014,D,$11 
1201830,K=J,07/07/2013,C,$10 
1201831,QJ1,02/11/2013,D,$24 
1201832,M.A,19/09/2012,C,$6 
1201833,>46,16/03/2013,C,$22 
1201834,EHX,08/01/2014,C,$30 
1201835,9Q>,13/11/2013,D,$3 
1201836,>;M,24/02/2013,D,$45 
1201837,:6<,01/02/2012,C,$38 
1201838,93/,17/07/2012,D,$33 
1201839,6P;,11/03/2014,C,$22 
1201840,IVV,02/10/2014,C,$5 
1201841,7FK,12/06/2014,D,$45 
1201842,<<O,20/09/2012,C,$32 
1201843,9L9,03/02/2014,D,$2 
1201844,J?D,21/07/2012,C,$10 
1201845,S75,17/09/2012,C,$33 
1201846,2<K,15/11/2012,C,$35 
1201847,.9P,18/07/2014,D,$12 
1201848,IQ-,02/05/2014,C,$17 
1201849,@U=,22/09/2012,C,$43 
1201850,:?7,27/07/2013,D,$48 
1201851,H3A,24/10/2014,C,$48 
1201852,6-N,16/10/2012,D,$41 
1201853,O<L,25/08/2013,C,$12 
1201854,5H9,23/01/2014,C,$20 
1201855,;<=,04/10/2013,C,$18 
1201856,M2.,12/11/2013,D,$20 
1201857,M7Y,21/08/2012,D,$9 
1201858,W6B,04/06/2013,C,$40 
1201859,-.W,10/08/2014,D,$4 
1201860,W=R,23/02/2013,C,$5 
