Account_id,Name,Channel,Timestamp,Credit/Debit,Amount
1201519,>DM,mobile,04/09/2012,C,$40
1201520,D2E,online,26/08/2014,D,$45
1201521,W1C,mobile,17/06/2014,D,$13
1201522,2B1,branch,23/05/2012,C,$9
1201523,@6?,mobile,28/08/2012,D,$38
1201524,?JV,mobile,07/05/2012,C,$47
1201525,?-?,mobile,18/02/2012,C,$48
1201526,;YA,online,05/12/2014,D,$31
1201527,?G0,online,28/06/2012,C,$26
1201528,F>2,online,20/12/2013,D,$5
1201529,M@Q,online,16/05/2014,C,$17
1201530,YBR,mobile,01/01/2014,C,$30
1201531,V.7,mobile,15/08/2012,C,$4
1201532,N0S,online,23/10/2014,D,$34
1201533,0Y<,mobile,02/07/2013,C,$1
1201534,7Q8,branch,05/06/2014,C,$17
1201535,85K,mobile,22/10/2013,D,$34
1201536,1YQ,mobile,24/10/2014,C,$37
1201537,0NY,mobile,15/07/2012,D,$48
1201538,EQ1,online,20/09/2014,C,$37
1201539,K37,online,16/12/2014,C,$2
1201540,7LE,online,28/11/2012,C,$2
1201541,ARX,online,25/11/2013,D,$42
1201542,VU4,mobile,06/03/2014,D,$37
1201543,@IP,mobile,19/11/2014,C,$7
1201544,B<9,online,17/09/2013,D,$6
1201545,KQE,mobile,21/02/2014,C,$49
1201546,NG.,branch,18/02/2013,C,$25
1201547,;>2,mobile,28/03/2012,D,$14
1201548,?-?,mobile,09/07/2014,C,$17
1201549,0=>,online,04/10/2012,D,$34
1201550,2E/,mobile,26/09/2012,C,$18
1201551,:KW,branch,02/01/2012,C,$8
1201552,EQ-,mobile,12/07/2012,C,$50
1201553,AAS,mobile,22/08/2014,D,$42
1201554,W7R,mobile,11/02/2014,C,$1
1201555,3UT,online,24/09/2013,C,$33
1201556,DVM,online,13/12/2013,D,$31
1201557,7OQ,online,04/03/2013,C,$15
1201558,494,online,21/07/2014,D,$6
1201559,M.4,mobile,21/05/2014,C,$24
1201560,NQY,mobile,05/04/2013,C,$24
1201561,/I0,online,22/05/2014,C,$34
1201562,3VX,mobile,14/11/2012,D,$44
1201563,35A,branch,23/10/2013,D,$27
1201564,:V:,mobile,02/09/2013,C,$15
1201565,9PX,mobile,19/01/2013,D,$21
1201566,CW9,mobile,20/11/2012,C,$10
1201567,O.M,online,16/08/2013,C,$35
1201568,08>,online,23/07/2014,D,$5
1201569,N5L,online,08/08/2012,C,$14
1201570,EQ9,online,28/01/2013,D,$18
1201571,HC?,mobile,11/12/2012,C,$21
1201572,YEI,mobile,06/02/2012,C,$14
1201573,6FN,online,25/09/2013,C,$26
1201574,FYU,mobile,03/01/2013,D,$35
1201575,BY?,branch,21/02/2012,C,$22
1201576,PJ/,mobile,16/01/2012,C,$38
1201577,3OP,mobile,27/02/2014,D,$3
1201578,S;A,online,08/02/2013,C,$48
1201579,-<A,mobile,05/12/2014,D,$4
1201580,JO.,branch,10/02/2013,C,$43
1201581,3;V,mobile,06/03/2013,C,$32
1201582,370,mobile,03/09/2012,C,$22
1201583,R08,mobile,06/01/2014,D,$6
1201584,03C,online,07/04/2014,D,$41
1201585,E;<,online,14/07/2013,C,$2
1201586,2;P,online,08/07/2014,D,$45
1201587,8K5,online,01/02/2014,C,$11
1201588,GHO,mobile,12/10/2013,C,$48
1201589,66W,mobile,10/08/2013,D,$6
1201590,Z8R,online,04/02/2012,C,$37
1201591,7T7,mobile,02/05/2014,D,$37
1201592,J5E,branch,03/10/2012,C,$31
1201593,8H2,mobile,04/12/2012,C,$33
1201594,S13,mobile,02/10/2014,C,$31
1201595,8V0,mobile,03/07/2013,D,$3
1201596,DKD,online,22/06/2013,C,$6
1201597,PYO,online,21/07/2013,C,$32
1201598,9@0,online,25/07/2014,D,$20
1201599,MB9,online,20/12/2013,C,$14
1201600,4MN,mobile,13/10/2012,D,$30
1201601,H?D,mobile,11/01/2014,C,$25
1201602,JN1,online,27/11/2012,C,$39
1201603,K<A,mobile,15/02/2013,C,$12
1201604,?E.,branch,25/11/2013,D,$37
1201605,3SN,mobile,09/03/2013,D,$24
1201606,OP5,mobile,24/02/2014,C,$20
1201607,5TC,online,20/05/2013,D,$32
1201608,4J>,mobile,03/08/2014,C,$16
1201609,QSQ,branch,11/05/2012,C,$15
1201610,-@H,mobile,18/05/2012,D,$8
1201611,1B0,mobile,04/11/2014,C,$2
1201612,2EE,mobile,17/09/2013,D,$35
1201613,W9@,online,19/09/2014,C,$18
1201614,../,online,27/04/2013,C,$27
1201615,LTT,online,05/12/2013,C,$6
1201616,KB-,online,25/09/2012,D,$21
1201617,/08,mobile,24/02/2014,C,$3
1201618,Y-/,mobile,12/05/2014,C,$50
1201619,:-Z,online,05/02/2014,D,$10
1201620,;HD,mobile,28/07/2012,C,$43
1201621,F96,branch,08/03/2014,D,$24
1201622,OQM,mobile,22/06/2014,C,$38
1201623,1H8,mobile,26/06/2013,C,$15
1201624,0/N,mobile,25/09/2014,C,$38
1201625,FY;,online,21/05/2014,D,$16
1201626,J>-,online,10/07/2014,D,$46
1201627,U<F,online,17/10/2014,C,$47
1201628,.8H,online,09/05/2012,D,$48
1201629,6FH,mobile,12/02/2012,C,$43
1201630,=5Q,mobile,27/09/2012,C,$33
1201631,HNX,online,27/05/2014,D,$28
1201632,D.B,mobile,15/07/2014,C,$40
1201633,/<5,branch,12/11/2014,D,$35
1201634,PJ1,mobile,03/07/2013,C,$45
1201635,5M0,mobile,08/09/2012,C,$16
1201636,?HM,online,08/05/2014,C,$4
1201637,.39,mobile,14/11/2013,D,$23
1201638,37/,branch,01/11/2014,C,$8
1201639,@9=,mobile,07/03/2013,C,$30
1201640,@MW,mobile,20/08/2012,D,$3
1201641,RLC,mobile,03/04/2013,C,$13
1201642,>IK,online,20/02/2014,D,$11
1201643,.M:,online,22/03/2012,C,$40
1201644,G=-,online,12/11/2014,C,$42
1201645,6S>,online,22/12/2012,C,$38
1201646,;2/,mobile,21/10/2014,D,$33
1201647,8IF,mobile,21/04/2012,D,$26
1201648,P:@,online,25/11/2013,C,$26
1201649,1X0,mobile,23/01/2013,D,$4
1201650,BNF,branch,25/03/2012,C,$38
1201651,H>.,mobile,01/05/2014,C,$7
1201652,J>H,mobile,22/03/2014,D,$27
1201653,<W9,mobile,11/06/2013,C,$36
1201654,B7Y,online,01/01/2014,D,$10
1201655,K;M,online,18/07/2014,C,$41
1201656,AUR,online,25/05/2014,C,$47
1201657,6;M,online,24/03/2013,C,$40
1201658,XE6,mobile,13/09/2014,D,$2
1201659,5SE,mobile,17/10/2014,C,$8
1201660,M91,online,27/03/2012,C,$1
1201661,/T=,mobile,25/12/2012,D,$4
1201662,Y/X,branch,15/11/2012,C,$26
1201663,<SK,mobile,20/07/2012,D,$7
1201664,?PQ,mobile,11/12/2012,C,$35
1201665,J2M,online,18/10/2014,C,$32
1201666,79N,mobile,19/05/2013,C,$29
1201667,;P:,branch,03/03/2014,D,$39
1201668,/<8,mobile,16/06/2012,D,$23
1201669,VS:,mobile,14/09/2012,C,$12
1201670,BM>,mobile,02/09/2012,D,$7
1201671,5VM,online,25/12/2014,C,$5
1201672,6H6,online,26/06/2013,C,$4
1201673,BHE,online,11/07/2014,D,$34
1201674,BC@,online,11/04/2013,C,$42
1201675,I?V,mobile,25/11/2012,D,$37
1201676,T14,mobile,27/11/2012,C,$23
1201677,HM4,online,12/09/2014,C,$48
1201678,I?0,mobile,26/11/2012,C,$29
1201679,4R@,branch,12/04/2014,D,$41
1201680,;PF,mobile,08/12/2014,C,$49
1201681,5?O,mobile,08/01/2012,C,$4
1201682,YRV,mobile,27/03/2013,D,$22
1201683,HF3,online,11/03/2013,C,$38
1201684,-VL,online,06/03/2012,D,$41
1201685,O@N,online,05/08/2012,C,$9
1201686,S=3,online,18/04/2014,C,$26
1201687,M3W,mobile,01/03/2012,C,$6
1201688,5S8,mobile,12/08/2013,D,$9
1201689,C5G,online,20/04/2013,D,$4
1201690,0./,mobile,12/07/2014,C,$4
1201691,=>X,branch,22/01/2012,D,$10
1201692,46N,mobile,16/10/2013,C,$30
1201693,D63,mobile,23/06/2014,C,$3
1201694,N4T,online,16/10/2013,D,$8
1201695,C-8,mobile,15/12/2012,C,$44
1201696,H7.,branch,12/02/2014,D,$21
1201697,036,mobile,02/01/2013,C,$36
1201698,A4/,mobile,28/02/2014,C,$43
1201699,CL?,mobile,10/05/2012,C,$38
1201700,HVI,online,08/01/2012,D,$6
1201701,AKP,online,01/03/2014,C,$10
1201702,4;T,online,19/08/2012,C,$47
1201703,=Z1,online,18/08/2013,D,$6
1201704,=DH,mobile,24/09/2013,C,$10
1201705,G/3,mobile,12/05/2013,D,$13
1201706,D:S,online,03/04/2012,C,$49
1201707,WJ3,mobile,06/03/2013,C,$13
1201708,3XL,branch,04/06/2012,C,$21
1201709,D.I,mobile,14/11/2013,D,$48
1201710,QQT,mobile,19/09/2014,D,$39
1201711,;43,mobile,28/10/2012,C,$2
1201712,U3C,online,09/06/2013,D,$40
1201713,OM@,online,02/09/2013,C,$3
1201714,3LO,online,10/05/2013,C,$33
1201715,JKS,online,10/12/2012,D,$12
1201716,;LV,mobile,11/12/2012,C,$6
1201717,22I,mobile,22/10/2012,D,$6
1201718,Q8C,online,04/03/2013,C,$32
1201719,/MK,mobile,14/11/2012,C,$18
1201720,-=>,branch,10/08/2012,C,$40
1201721,CX4,mobile,18/03/2013,D,$5
1201722,AKQ,mobile,16/01/2013,C,$31
1201723,E45,online,23/08/2014,C,$16
1201724,L.C,mobile,19/08/2013,D,$17
1201725,9QC,branch,22/11/2013,C,$23
1201726,TKJ,mobile,25/02/2013,D,$11
1201727,S82,mobile,01/09/2012,C,$35
1201728,ONC,mobile,04/04/2012,C,$32
1201729,YQQ,online,01/06/2013,C,$18
1201730,DJ:,online,07/05/2013,D,$44
1201731,D:<,online,14/08/2013,D,$34
1201732,>VY,online,26/03/2013,C,$4
1201733,>-H,mobile,09/02/2013,D,$50
1201734,XMK,mobile,02/11/2012,C,$4
1201735,8>7,online,23/11/2013,C,$19
1201736,M;@,mobile,22/07/2012,D,$42
1201737,F68,branch,28/02/2012,C,$29
1201738,<20,mobile,01/12/2013,D,$23
1201739,119,mobile,23/05/2012,C,$6
1201740,H.P,mobile,26/10/2014,C,$15
1201741,NHA,online,26/12/2014,C,$13
1201742,1Y=,online,22/09/2013,D,$17
1201743,N</,online,01/06/2013,C,$17
1201744,;M/,online,09/09/2012,C,$28
1201745,FH0,mobile,20/07/2013,D,$46
1201746,REV,mobile,16/09/2012,C,$8
1201747,C66,online,04/01/2013,D,$1
1201748,9N0,mobile,19/07/2012,C,$36
1201749,=L>,branch,20/02/2013,C,$42
1201750,PC;,mobile,11/07/2014,C,$33
1201751,CX@,mobile,20/03/2013,D,$41
1201752,EXJ,online,24/12/2014,D,$6
1201753,=V2,mobile,06/08/2014,C,$14
1201754,BU:,branch,02/06/2014,D,$12
1201755,Z1K,mobile,27/06/2013,C,$5
1201756,?>>,mobile,24/10/2012,C,$11
1201757,T3J,mobile,10/04/2012,D,$2
1201758,@GV,online,12/08/2014,C,$47
1201759,1B1,online,24/08/2014,D,$37
1201760,HH1,online,13/07/2013,C,$16
1201761,:3C,online,18/12/2013,C,$29
1201762,<0M,mobile,03/03/2012,C,$45
1201763,6/V,mobile,07/02/2012,D,$44
1201764,5UT,online,12/06/2014,C,$34
1201765,F.J,mobile,06/08/2012,C,$24
1201766,2JF,branch,05/02/2012,D,$27
1201767,WJM,mobile,10/06/2014,C,$37
1201768,L=X,mobile,15/04/2013,D,$32
1201769,I6;,mobile,09/12/2013,C,$24
1201770,5-7,online,04/09/2013,C,$35
1201771,IE<,online,20/08/2014,C,$33
1201772,BOC,online,01/05/2012,D,$20
1201773,@IG,online,25/03/2012,D,$9
1201774,9-@,mobile,18/10/2012,C,$5
1201775,JWE,mobile,14/04/2014,D,$3
1201776,5E8,online,12/12/2013,C,$6
1201777,ZZM,mobile,15/09/2012,C,$49
1201778,SD4,branch,25/08/2012,D,$41
1201779,OV;,mobile,19/11/2012,C,$17
1201780,MK0,mobile,22/06/2013,D,$48
1201781,GOJ,online,18/02/2014,C,$44
1201782,V=L,mobile,27/04/2013,C,$49
1201783,4JA,branch,19/06/2013,C,$18
1201784,/MJ,mobile,21/11/2012,D,$19
1201785,TJ9,mobile,01/11/2012,C,$44
1201786,I<V,mobile,16/07/2013,C,$23
1201787,A/3,online,10/01/2012,D,$49
1201788,E7G,online,26/12/2012,C,$28
1201789,U4E,online,17/06/2012,D,$20
1201790,7X=,online,26/12/2013,C,$18
1201791,PI1,mobile,18/06/2012,C,$8
1201792,O5G,mobile,20/12/2014,C,$18
1201793,7.F,online,02/10/2013,D,$46
1201794,<7A,mobile,11/11/2013,D,$40
1201795,-RQ,branch,16/05/2014,C,$24
1201796,Q-7,mobile,10/09/2013,D,$36
1201797,UY=,mobile,19/12/2012,C,$37
1201798,WRC,mobile,04/12/2012,C,$39
1201799,10Q,online,28/05/2012,D,$11
1201800,FN>,online,19/10/2012,C,$10
1201801,>3Z,online,28/10/2013,D,$49
